,code,url,product_name,brands,carbon-footprint_100g,categories_tags,categories_en,countries_en,image_url,image_small_url,leaf_category_list,leaf_category
462726,3700214610015,http://world-en.openfoodfacts.org/product/3700214610015/noir-intense-degustation-alter-eco,Noir intense dégustation,Alter eco,160,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolates,en:dark-chocolates","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Dark chocolates",France,https://static.openfoodfacts.org/images/products/370/021/461/0015/front_fr.50.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0015/front_fr.50.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:chocolates', 'en:dark-chocolates']",en:dark-chocolates
462727,3700214610022,http://world-en.openfoodfacts.org/product/3700214610022/lait-doux-fondant-alter-eco,Lait doux & fondant,Alter eco,273,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolates,en:milk-chocolates","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Milk chocolates",France,https://static.openfoodfacts.org/images/products/370/021/461/0022/front_fr.26.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0022/front_fr.26.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:chocolates', 'en:milk-chocolates']",en:milk-chocolates
462738,3700214610176,http://world-en.openfoodfacts.org/product/3700214610176/the-earl-grey-bergamote-alter-eco,Thé Earl Grey bergamote,Alter Eco,766,"en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:teas,en:herbal-teas,en:black-teas,en:flavored-teas,en:flavored-black-teas,en:teas-with-bergamot,en:bergamot-flavored-black-teas,en:unsweetened-beverages","Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Teas,Herbal teas,Black teas,Flavored teas,Flavored black teas,Teas with bergamot,Bergamot flavored black teas,Unsweetened beverages",France,https://static.openfoodfacts.org/images/products/370/021/461/0176/front_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0176/front_fr.7.200.jpg,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:herbal-teas', 'en:black-teas', 'en:flavored-teas', 'en:flavored-black-teas', 'en:teas-with-bergamot', 'en:bergamot-flavored-black-teas', 'en:unsweetened-beverages']",en:unsweetened-beverages
462739,3700214610183,http://world-en.openfoodfacts.org/product/3700214610183/the-vert-ceylan-bio-alter-eco,Thé Vert Ceylan Bio Alter Eco,Alter Eco,775,"en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:teas,en:green-teas,en:herbal-teas,en:unsweetened-beverages,fr:the-vert-de-ceylan","Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Teas,Green teas,Herbal teas,Unsweetened beverages,fr:the-vert-de-ceylan",France,https://static.openfoodfacts.org/images/products/370/021/461/0183/front_fr.18.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0183/front_fr.18.200.jpg,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:green-teas', 'en:herbal-teas', 'en:unsweetened-beverages', 'fr:the-vert-de-ceylan']",en:unsweetened-beverages
462740,3700214610190,http://world-en.openfoodfacts.org/product/3700214610190/tablette-chocolat-noir-dessert-alter-eco,Tablette chocolat Noir dessert,Alter eco,123,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:dark-chocolates","Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",France,https://static.openfoodfacts.org/images/products/370/021/461/0190/front_fr.28.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0190/front_fr.28.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates']",en:dark-chocolates
462749,3700214610411,http://world-en.openfoodfacts.org/product/3700214610411/rooibos-nature-bio-equitable-alter-eco,Rooibos nature bio & équitable,Alter Eco,607,"en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:hot-beverages,en:plant-based-beverages,en:herbal-teas,en:rooibos,en:unsweetened-beverages","Plant-based foods and beverages,Beverages,Plant-based foods,Hot beverages,Plant-based beverages,Herbal teas,Rooibos,Unsweetened beverages",France,https://static.openfoodfacts.org/images/products/370/021/461/0411/front_fr.54.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0411/front_fr.54.200.jpg,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:plant-based-beverages', 'en:herbal-teas', 'en:rooibos', 'en:unsweetened-beverages']",en:unsweetened-beverages
462750,3700214610428,http://world-en.openfoodfacts.org/product/3700214610428/the-du-matin-alter-eco,Thé du matin,Alter Eco,540,"en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:hot-beverages,en:plant-based-beverages,en:teas,en:herbal-teas,en:black-teas,en:unsweetened-beverages","Plant-based foods and beverages,Beverages,Plant-based foods,Hot beverages,Plant-based beverages,Teas,Herbal teas,Black teas,Unsweetened beverages",France,https://static.openfoodfacts.org/images/products/370/021/461/0428/front_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0428/front_fr.7.200.jpg,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:herbal-teas', 'en:black-teas', 'en:unsweetened-beverages']",en:unsweetened-beverages
462755,3700214610534,http://world-en.openfoodfacts.org/product/3700214610534/chocolat-lait-classique-degustation-bio-alter-eco,Chocolat Lait classique dégustation Bio Alter Eco,Alter Eco,160,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolates,en:milk-chocolates","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Milk chocolates",France,https://static.openfoodfacts.org/images/products/370/021/461/0534/front_fr.21.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0534/front_fr.21.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:chocolates', 'en:milk-chocolates']",en:milk-chocolates
462759,3700214610817,http://world-en.openfoodfacts.org/product/3700214610817/chocolat-noir-doux-et-fondant-bio-et-equitable-alter-eco,Chocolat noir doux et fondant bio et équitable,Alter Eco,273,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:dark-chocolates","Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",France,https://static.openfoodfacts.org/images/products/370/021/461/0817/front_fr.6.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0817/front_fr.6.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates']",en:dark-chocolates
462760,3700214610923,http://world-en.openfoodfacts.org/product/3700214610923/rooibos-epices-alter-eco,Rooibos épices,Alter Eco,562,"en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:hot-beverages,en:plant-based-beverages,en:herbal-teas,en:rooibos,en:unsweetened-beverages","Plant-based foods and beverages,Beverages,Plant-based foods,Hot beverages,Plant-based beverages,Herbal teas,Rooibos,Unsweetened beverages",France,https://static.openfoodfacts.org/images/products/370/021/461/0923/front_fr.35.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0923/front_fr.35.200.jpg,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:plant-based-beverages', 'en:herbal-teas', 'en:rooibos', 'en:unsweetened-beverages']",en:unsweetened-beverages
462763,3700214611548,http://world-en.openfoodfacts.org/product/3700214611548/85-perou-fruite-et-corse-alter-eco,85% Pérou Fruité et Corsé,ALTER ECO,178,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:dark-chocolates","Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates","Belgium,France,Switzerland",https://static.openfoodfacts.org/images/products/370/021/461/1548/front_fr.55.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/1548/front_fr.55.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates']",en:dark-chocolates
462764,3700214611555,http://world-en.openfoodfacts.org/product/3700214611555/chocolat-noir-eclats-de-menthe-altereco,Chocolat noir éclats de menthe,Altereco,153,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolates,en:dark-chocolates","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Dark chocolates",France,https://static.openfoodfacts.org/images/products/370/021/461/1555/front_fr.54.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/1555/front_fr.54.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:chocolates', 'en:dark-chocolates']",en:dark-chocolates
462782,3700214613443,http://world-en.openfoodfacts.org/product/3700214613443/the-vert-earl-grey-a-la-bergamote-alter-eco,Thé vert Earl Grey à la bergamote,Alter Eco,770,"en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:teas,en:green-teas,en:herbal-teas,en:unsweetened-beverages","Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Teas,Green teas,Herbal teas,Unsweetened beverages",France,https://static.openfoodfacts.org/images/products/370/021/461/3443/front_fr.8.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/3443/front_fr.8.200.jpg,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:green-teas', 'en:herbal-teas', 'en:unsweetened-beverages']",en:unsweetened-beverages
